max_exponent,moves,frequency
3,1,1020
3,2,9922
3,3,23472
3,4,65586
4,4,7
4,5,507
4,6,4431
4,7,15488
4,8,36526
4,9,43041
5,10,1
5,11,10
5,12,141
5,13,1032
5,14,4595
5,15,13703
5,16,28088
5,17,33843
5,18,18587
6,24,1
6,25,12
6,26,58
6,27,355
6,28,1402
6,29,4412
6,30,10476
6,31,18893
6,32,24817
6,33,23013
6,34,13127
6,35,3434
7,50,1
7,52,1
7,53,11
7,54,52
7,55,147
7,56,517
7,57,1334
7,58,3229
7,59,6257
7,60,10991
7,61,15353
7,62,18442
7,63,17555
7,64,13696
7,65,7981
7,66,3341
7,67,966
7,68,126
8,107,2
8,108,2
8,109,8
8,110,15
8,111,68
8,112,158
8,113,402
8,114,831
8,115,1615
8,116,2851
8,117,4726
8,118,6832
8,119,9443
8,120,11890
8,121,13012
8,122,12987
8,123,11889
8,124,9495
8,125,6397
8,126,4006
8,127,2093
8,128,873
8,129,286
8,130,102
8,131,15
8,132,1
8,133,1
9,218,2
9,219,1
9,220,2
9,221,3
9,222,7
9,223,18
9,224,32
9,225,70
9,226,147
9,227,240
9,228,470
9,229,759
9,230,1245
9,231,1771
9,232,2702
9,233,3888
9,234,4973
9,235,6401
9,236,7695
9,237,8552
9,238,9180
9,239,9324
9,240,9142
9,241,8340
9,242,7104
9,243,5876
9,244,4310
9,245,3070
9,246,1998
9,247,1271
9,248,722
9,249,384
9,250,176
9,251,80
9,252,29
9,253,11
9,254,3
9,255,2
10,444,1
10,447,1
10,448,2
10,449,5
10,450,9
10,451,19
10,452,18
10,453,46
10,454,69
10,455,118
10,456,166
10,457,247
10,458,364
10,459,557
10,460,763
10,461,1122
10,462,1476
10,463,1956
10,464,2394
10,465,2971
10,466,3701
10,467,4415
10,468,4964
10,469,5655
10,470,6159
10,471,6414
10,472,6659
10,473,6649
10,474,6597
10,475,6147
10,476,5712
10,477,5188
10,478,4380
10,479,3764
10,480,2992
10,481,2422
10,482,1826
10,483,1328
10,484,942
10,485,670
10,486,447
10,487,253
10,488,164
10,489,110
10,490,55
10,491,45
10,492,17
10,493,8
10,494,12
10,495,1
11,904,1
11,906,5
11,907,2
11,908,10
11,909,23
11,910,15
11,911,15
11,912,25
11,913,56
11,914,84
11,915,86
11,916,137
11,917,182
11,918,235
11,919,316
11,920,362
11,921,543
11,922,657
11,923,816
11,924,998
11,925,1219
11,926,1376
11,927,1714
11,928,2008
11,929,2245
11,930,2712
11,931,3008
11,932,3315
11,933,3620
11,934,3973
11,935,4246
11,936,4470
11,937,4776
11,938,4793
11,939,4859
11,940,4723
11,941,4699
11,942,4514
11,943,4370
11,944,4054
11,945,3631
11,946,3321
11,947,3000
11,948,2590
11,949,2407
11,950,1952
11,951,1644
11,952,1352
11,953,1069
11,954,879
11,955,709
11,956,593
11,957,443
11,958,308
11,959,244
11,960,193
11,961,143
11,962,97
11,963,60
11,964,31
11,965,29
11,966,19
11,967,12
11,968,3
11,969,3
11,970,2
11,971,1
11,973,2
11,974,1
